fixed_acidity,residual_sugar,total_sulfur_dioxide,alcohol,quality
7.4,1.90,34.0,9.400000000,poor
7.8,2.60,67.0,9.800000000,poor
7.8,2.30,54.0,9.800000000,poor
11.2,1.90,60.0,9.800000000,good
7.4,1.90,34.0,9.400000000,poor
7.4,1.80,40.0,9.400000000,poor
7.9,1.60,59.0,9.400000000,poor
7.3,1.20,21.0,10.000000000,good
7.8,2.00,18.0,9.500000000,good
7.5,6.10,102.0,10.500000000,poor
6.7,1.80,65.0,9.200000000,poor
7.5,6.10,102.0,10.500000000,poor
5.6,1.60,59.0,9.900000000,poor
7.8,1.60,29.0,9.100000000,poor
8.9,3.80,145.0,9.200000000,poor
8.9,3.90,148.0,9.200000000,poor
8.5,1.80,103.0,10.500000000,good
8.1,1.70,56.0,9.300000000,poor
7.4,4.40,29.0,9.000000000,poor
7.9,1.80,56.0,9.200000000,good
8.9,1.80,60.0,9.400000000,good
7.6,2.30,71.0,9.700000000,poor
7.9,1.60,37.0,9.500000000,poor
8.5,2.30,67.0,9.400000000,poor
6.9,2.40,40.0,9.700000000,good
6.3,1.40,23.0,9.300000000,poor
7.6,1.80,11.0,9.500000000,poor
7.9,1.60,37.0,9.500000000,poor
7.1,1.90,35.0,9.400000000,poor
7.8,2.00,16.0,9.800000000,good
6.7,2.40,82.0,10.100000000,poor
6.9,2.50,37.0,10.600000000,good
8.3,2.30,113.0,9.800000000,poor
6.9,10.70,83.0,9.400000000,good
5.2,1.80,50.0,9.200000000,poor
7.8,5.50,18.0,9.600000000,good
7.8,2.40,15.0,10.800000000,good
8.1,2.10,30.0,9.700000000,good
5.7,1.50,19.0,9.800000000,poor
7.3,5.90,87.0,10.500000000,poor
7.3,5.90,87.0,10.500000000,poor
8.8,2.80,46.0,9.300000000,poor
7.5,2.60,14.0,10.500000000,good
8.1,2.20,23.0,10.300000000,poor
6.8,1.80,11.0,9.500000000,poor
4.6,2.10,65.0,13.100000000,poor
7.7,2.20,114.0,9.200000000,poor
8.7,1.60,37.0,9.500000000,poor
6.4,1.60,12.0,9.200000000,poor
5.6,1.40,96.0,9.200000000,poor
8.8,1.70,23.0,9.200000000,poor
6.6,2.20,15.0,9.400000000,good
6.6,2.10,14.0,9.400000000,good
8.6,3.00,119.0,9.400000000,poor
7.6,2.80,73.0,10.200000000,good
7.7,3.80,45.0,9.500000000,poor
10.2,3.40,10.0,9.600000000,poor
7.5,5.10,110.0,9.400000000,poor
7.8,2.30,54.0,10.000000000,poor
7.3,2.40,46.0,9.400000000,good
8.8,2.20,52.0,9.200000000,poor
7.7,1.80,112.0,9.300000000,poor
7.5,1.90,35.0,9.500000000,good
7.0,2.00,54.0,9.800000000,poor
7.2,4.65,11.0,10.900000000,poor
7.2,4.65,11.0,10.900000000,poor
7.5,1.50,39.0,9.600000000,poor
6.6,1.60,15.0,10.700000000,poor
9.3,2.00,65.0,10.700000000,poor
8.0,1.90,19.0,10.500000000,good
7.7,1.90,27.0,9.500000000,good
7.7,2.10,96.0,9.500000000,poor
7.7,1.90,94.0,9.500000000,poor
8.3,2.10,43.0,9.200000000,poor
9.7,2.50,83.0,9.600000000,poor
8.8,2.20,42.0,10.500000000,poor
8.8,2.20,42.0,10.500000000,poor
6.8,2.40,30.0,10.700000000,good
6.7,2.00,80.0,10.100000000,poor
8.3,1.50,119.0,9.100000000,poor
6.2,1.60,15.0,9.200000000,poor
7.8,1.90,67.0,9.400000000,poor
7.4,2.00,73.0,9.100000000,poor
7.3,1.80,51.0,9.400000000,poor
6.3,1.80,61.0,10.300000000,good
6.9,2.20,40.0,10.100000000,poor
8.6,1.90,136.0,9.900000000,good
7.7,1.90,31.0,9.600000000,poor
